time_s,alt_left_m,alt_right_m,alt_lightware_m
1779965965.3127081,1.5934821367263794,1.6062356233596802,1.66
1779965965.3445354,1.6308977603912354,0.30913370847702026,1.65
1779965965.3765557,1.5903321504592896,1.5745822191238403,1.64
1779965965.4088302,1.591484546661377,1.552762746810913,1.72
1779965965.4407566,1.5900248289108276,0.3089800477027893,1.62
1779965965.4725087,1.5353994369506836,1.4853838682174683,1.61
1779965965.505311,1.5219544172286987,1.4301438331604004,1.67
1779965965.5365267,1.4860752820968628,1.3653771877288818,
1779965965.5685198,1.4509644508361816,1.320124864578247,
1779965965.6006076,1.372675895690918,1.2598142623901367,
1779965965.6350837,1.3203554153442383,1.2299277782440186,
1779965965.664527,1.2713385820388794,0.31036296486854553,
1779965965.6966002,1.2253180742263794,1.153175711631775,1.26
1779965965.728946,1.146414875984192,0.27118024230003357,1.21
1779965965.7606306,1.1186796426773071,1.104005217552185,1.22
1779965965.7924042,1.0614420175552368,1.0812638998031616,
1779965965.8244176,1.0158824920654297,1.0324007272720337,
1779965965.856395,0.9743181467056274,0.30882638692855835,
1779965965.8883674,0.9161586761474609,0.30913370847702026,0.9
1779965965.920575,0.8699076771736145,0.8971819281578064,0.94
1779965965.952414,0.841250479221344,0.7654203772544861,
1779965965.984368,0.7805556654930115,0.32319340109825134,0.95
1779965966.0165067,0.7548948526382446,0.27425339818000793,0.94
1779965966.0484016,0.7435241937637329,0.6627001762390137,0.92
1779965966.0803413,0.7567387223243713,0.6601648330688477,0.84
1779965966.112381,0.6755306124687195,0.6855952143669128,0.85
1779965966.1444662,0.6604721546173096,0.5455361604690552,0.71
1779965966.1763039,0.5184155702590942,0.5451520085334778,0.79
1779965966.2091115,0.4650963246822357,0.5201826095581055,0.85
1779965966.240614,0.49183276295661926,0.31059345602989197,0.84
1779965966.272316,0.39456743001937866,0.3092873692512512,0.71
1779965966.3050115,0.5040485262870789,0.5474568605422974,0.77
1779965966.3364596,0.42921724915504456,0.3112080693244934,0.97
1779965966.3683717,0.5357788801193237,0.30913370847702026,0.92
1779965966.400488,0.581031084060669,0.3093641996383667,0.97
1779965966.4323702,0.5287106037139893,0.30959469079971313,1.02
1779965966.4642792,0.6292027831077576,0.3102093040943146,1.05
1779965966.4962668,0.5987785458564758,0.9782363772392273,1.12
1779965966.5294704,0.6789879202842712,0.9906827211380005,1.17
1779965966.560151,0.7862410545349121,1.0721981525421143,1.25
1779965966.5924702,0.8567699193954468,1.2033450603485107,1.27
1779965966.6242945,0.9586450457572937,1.1382709741592407,1.32
1779965966.6564913,1.0146533250808716,1.217942476272583,1.32
1779965966.6881104,1.2042670249938965,0.30951786041259766,1.44
1779965966.7203462,1.1391160488128662,0.30882638692855835,1.5
1779965966.7528625,1.469941258430481,1.2924665212631226,1.52
1779965966.7841356,1.4604912996292114,1.458186388015747,1.54
1779965966.8179784,1.5499200820922852,1.43168044090271,1.55
1779965966.8483393,1.5585249662399292,1.5435433387756348,1.62
1779965966.8800714,1.420924425125122,0.3092873692512512,1.65
1779965966.9124484,1.569588303565979,1.584800362586975,1.67
1779965966.9440851,1.5912539958953857,1.6269794702529907,1.7
1779965966.9760394,1.6323574781417847,1.6348928213119507,1.68
1779965967.0086586,1.6229844093322754,1.6475696563720703,1.72
1779965967.0414622,1.6381964683532715,1.6620134115219116,1.67
1779965967.0720575,1.6302831172943115,1.6802986860275269,1.68
1779965967.1041458,1.6204490661621094,1.655867099761963,1.73
1779965967.1361375,1.6046222448349,1.6430367231369019,1.73
1779965967.168113,1.6161465644836426,1.6171454191207886,1.75
1779965967.2004628,1.5785003900527954,1.579576015472412,1.67
1779965967.2329586,1.5626736879348755,1.5601383447647095,1.69
1779965967.264024,1.5282543897628784,1.526256799697876,1.65
1779965967.2963588,1.5072801113128662,1.479775309562683,1.54
1779965967.328242,1.4572644233703613,1.4284536838531494,1.5
1779965967.3600883,1.3821258544921875,1.395954966545105,1.53
1779965967.3920176,1.3631490468978882,1.3591539859771729,1.43
1779965967.42416,1.3105981349945068,1.2969225645065308,1.42
1779965967.4560077,1.2361509799957275,1.2644239664077759,1.33
1779965967.4879804,1.2053425312042236,1.2088767290115356,1.32
1779965967.5199869,1.1643928289413452,0.31174588203430176,1.31
1779965967.5519474,1.1148381233215332,1.0961687564849854,1.19
1779965967.5840313,1.0582152605056763,1.0721981525421143,1.17
1779965967.6159446,1.020876407623291,1.037548303604126,1.11
1779965967.6483343,0.9931411743164062,0.27056559920310974,1.07
1779965967.6798656,0.9580304026603699,0.9324463605880737,1.07
1779965967.712425,0.9229196310043335,0.9004855751991272,1.02
1779965967.744697,0.8935709595680237,0.8686015605926514,1.0
1779965967.7758446,0.8689857125282288,0.8408663868904114,0.97
1779965967.8080065,0.8337981104850769,0.8166652321815491,0.94
1779965967.840086,0.7993787527084351,0.7780203223228455,0.87
